#;Equipe;P;J;V;E;D;GP;GC;SG;%
1;Botafogo;33;16;10;3;3;27;14;13;68
2;Palmeiras;33;16;10;3;3;25;12;13;68
3;Flamengo;31;16;9;4;3;28;17;11;64
4;Bahia;30;16;9;3;4;26;19;7;62
5;São Paulo;27;16;8;3;5;25;18;7;56
6;Cruzeiro;26;15;8;2;5;21;17;4;57
7;Fortaleza;26;15;7;5;3;16;15;1;57
8;Athlético-PR;25;16;7;4;5;20;16;4;52
9;Bragantino;22;15;6;4;5;20;18;2;48
10;Atlético-MG;21;15;5;6;4;22;24;-2;46
11;Vasco;20;16;6;2;8;19;26;-7;41
12;Internacional;19;13;5;4;4;12;11;1;48
13;Juventude;19;14;5;4;5;18;19;-1;45
14;Criciúma;17;14;4;5;5;21;22;-1;40
15;Vitória;15;16;4;3;9;18;25;-7;31
16;Cuiabá;14;15;3;5;7;16;20;-4;31
17;Corinthians;12;16;2;6;8;12;22;-10;25
18;Grêmio;11;14;3;2;9;10;19;-9;26
19;Atlético-GO;11;16;2;5;9;14;24;-10;22
20;Fluminense;8;16;1;5;10;12;24;-12;16
