Round;Home;Away;Jogado;Res;OddH;OddD;OddA
1;Criciúma;Juventude;Sim;D;;;
1;Internacional;Bahia;Sim;H;;;
1;Fluminense;Bragantino;Sim;D;;;
1;São Paulo;Fortaleza;Sim;A;;;
1;Athlético-PR;Cuiabá;Sim;H;;;
1;Vasco;Grêmio;Sim;H;;;
1;Corinthians;Atlético-MG;Sim;D;;;
1;Atlético-GO;Flamengo;Sim;A;;;
1;Cruzeiro;Botafogo;Sim;H;;;
1;Vitória;Palmeiras;Sim;A;;;
2;Bahia;Fluminense;Sim;H;;;
2;Cuiabá;Vitória;Não;;;;
2;Bragantino;Vasco;Sim;H;;;
2;Grêmio;Athlético-PR;Sim;H;;;
2;Palmeiras;Internacional;Sim;A;;;
2;Juventude;Corinthians;Sim;H;;;
2;Fortaleza;Cruzeiro;Sim;D;;;
2;Atlético-MG;Criciúma;Sim;D;;;
2;Flamengo;São Paulo;Sim;H;;;
2;Botafogo;Atlético-GO;Sim;H;;;
3;Fluminense;Vasco;Sim;H;;;
3;Criciúma;Fortaleza;Não;;;;
3;Bragantino;Corinthians;Sim;H;;;
3;Grêmio;Cuiabá;Sim;H;;;
3;Atlético-MG;Cruzeiro;Sim;H;;;
3;Palmeiras;Flamengo;Sim;D;;;
3;Athlético-PR;Internacional;Sim;H;;;
3;Vitória;Bahia;Sim;D;;;
3;Atlético-GO;São Paulo;Sim;A;;;
3;Botafogo;Juventude;Sim;H;;;
4;Vasco;Criciúma;Não;;;;
4;Cuiabá;Atlético-MG;Não;;;;
4;Bahia;Grêmio;Não;;;;
4;Flamengo;Botafogo;Não;;;;
4;Corinthians;Fluminense;Não;;;;
4;Cruzeiro;Vitória;Não;;;;
4;Fortaleza;Bragantino;Não;;;;
4;Juventude;Athlético-PR;Não;;;;
4;Internacional;Atlético-GO;Não;;;;
4;São Paulo;Palmeiras;Não;;;;
5;Corinthians;Fortaleza;Não;;;;
5;Fluminense;Atlético-MG;Não;;;;
5;Juventude;Atlético-GO;Não;;;;
5;Bragantino;Flamengo;Não;;;;
5;Cruzeiro;Internacional;Não;;;;
5;Vitória;São Paulo;Não;;;;
5;Athlético-PR;Vasco;Não;;;;
5;Grêmio;Criciúma;Não;;;;
5;Cuiabá;Palmeiras;Não;;;;
5;Botafogo;Bahia;Não;;;;
6;Flamengo;Corinthians;Não;;;;
6;Criciúma;Cuiabá;Não;;;;
6;Atlético-MG;Grêmio;Não;;;;
6;Vasco;Vitória;Não;;;;
6;Palmeiras;Athlético-PR;Não;;;;
6;Fortaleza;Botafogo;Não;;;;
6;Atlético-GO;Cruzeiro;Não;;;;
6;Bahia;Bragantino;Não;;;;
