,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Flamengo,0.4707,0.2412,0.1394,0.0765,0.0368,0.0201,0.0089,0.0045,0.0012,0.0006,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botafogo,0.212,0.2406,0.1986,0.1408,0.094,0.0561,0.0292,0.0146,0.0082,0.0034,0.0017,0.0004,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palmeiras,0.1805,0.2343,0.2104,0.1464,0.0978,0.0604,0.0362,0.0181,0.0097,0.0033,0.0015,0.0007,0.0004,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0
Bahia,0.065,0.1206,0.1568,0.1785,0.1518,0.1183,0.0862,0.0502,0.0346,0.0196,0.0107,0.0045,0.0022,0.0008,0.0002,0.0,0.0,0.0,0.0,0.0
São Paulo,0.0426,0.0798,0.1215,0.1628,0.1743,0.1403,0.1101,0.0673,0.0435,0.0264,0.0155,0.0093,0.0038,0.0013,0.001,0.0003,0.0002,0.0,0.0,0.0
Cruzeiro,0.0118,0.0304,0.065,0.0919,0.1224,0.1502,0.1385,0.1254,0.0924,0.0638,0.0476,0.0286,0.017,0.0093,0.0041,0.0007,0.0007,0.0002,0.0,0.0
Athlético-PR,0.0117,0.0331,0.0577,0.0972,0.1237,0.1577,0.1442,0.1173,0.0892,0.0649,0.0442,0.0293,0.0163,0.0079,0.0033,0.0014,0.0006,0.0002,0.0001,0.0
Fortaleza,0.0031,0.0089,0.0221,0.0388,0.0692,0.0872,0.1203,0.1432,0.1275,0.1143,0.0955,0.0686,0.0463,0.0284,0.0161,0.0061,0.0035,0.0008,0.0001,0.0
Internacional,0.0012,0.0039,0.0086,0.022,0.0398,0.0564,0.086,0.11,0.1251,0.1244,0.1176,0.1029,0.0758,0.0568,0.0344,0.0192,0.0097,0.0045,0.0016,0.0001
Atlético-MG,0.001,0.0035,0.011,0.0187,0.0382,0.0617,0.0867,0.1103,0.131,0.126,0.1198,0.1012,0.0746,0.0508,0.0314,0.0196,0.0089,0.0035,0.002,0.0001
Bragantino,0.0003,0.002,0.0044,0.0152,0.0241,0.0407,0.0672,0.0914,0.1124,0.136,0.1255,0.1189,0.0962,0.0677,0.0463,0.0272,0.0159,0.0066,0.0018,0.0002
Juventude,0.0001,0.0011,0.0023,0.0063,0.014,0.0237,0.0389,0.0613,0.0861,0.1009,0.1187,0.128,0.1251,0.1146,0.0799,0.0503,0.0287,0.0127,0.0061,0.0012
Criciúma,0.0,0.0004,0.0016,0.0028,0.0068,0.0142,0.0263,0.04,0.0622,0.0866,0.112,0.1245,0.1324,0.1247,0.1054,0.0709,0.045,0.0277,0.0128,0.0037
Vasco,0.0,0.0002,0.0005,0.0021,0.0059,0.0101,0.0153,0.0332,0.0478,0.0744,0.0942,0.122,0.1376,0.1356,0.1164,0.0881,0.0561,0.0391,0.017,0.0044
Grêmio,0.0,0.0,0.0,0.0,0.0007,0.0012,0.0022,0.005,0.011,0.0193,0.0317,0.0484,0.0742,0.1085,0.1374,0.1526,0.1494,0.1288,0.0878,0.0418
Cuiabá,0.0,0.0,0.0,0.0,0.0004,0.0008,0.0026,0.0039,0.0075,0.0173,0.0283,0.0403,0.0741,0.1006,0.129,0.1526,0.1542,0.1379,0.103,0.0475
Vitória,0.0,0.0,0.0001,0.0,0.0001,0.0003,0.0004,0.0017,0.0036,0.0069,0.0146,0.0285,0.0469,0.0776,0.1131,0.1466,0.1725,0.1778,0.1423,0.067
Corinthians,0.0,0.0,0.0,0.0,0.0,0.0003,0.0008,0.0022,0.006,0.0095,0.0157,0.0331,0.0545,0.0765,0.11,0.1424,0.1604,0.1663,0.1475,0.0748
Atlético-GO,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0008,0.002,0.0043,0.0092,0.0183,0.0318,0.0564,0.0892,0.1329,0.19,0.2685,0.196
Fluminense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0004,0.0008,0.0016,0.0039,0.007,0.0154,0.0328,0.0613,0.1039,0.2094,0.5632
