;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Flamengo;42.26%;21.74%;13.16%;8.13%;5.14%;3.45%;2.01%;1.46%;1.03%;0.66%;0.39%;0.19%;0.19%;0.09%;0.05%;0.03%;0%;0.01%;0.01%;0%
Palmeiras;23.38%;20.89%;15.86%;11.39%;8.71%;5.89%;4.34%;2.78%;2.32%;1.59%;1.12%;0.73%;0.4%;0.29%;0.19%;0.07%;0.04%;0.01%;0%;0%
Atlético-MG;11.35%;15.3%;14.49%;12.17%;10.79%;8.29%;6.77%;5.39%;4.27%;3.25%;2.6%;1.88%;1.3%;0.9%;0.49%;0.41%;0.22%;0.07%;0.04%;0.02%
Internacional;9.43%;13.37%;14.57%;12.55%;10.39%;9.04%;7.18%;6.02%;4.77%;3.82%;2.85%;1.98%;1.58%;1.07%;0.57%;0.45%;0.19%;0.1%;0.04%;0.03%
Athlético-PR;3.35%;6.24%;7.73%;8.64%;9.41%;9.67%;8.95%;8.43%;7.54%;6.95%;5.49%;4.87%;3.91%;3.18%;2.34%;1.56%;0.98%;0.49%;0.21%;0.06%
Grêmio;2.89%;5.57%;7.68%;8.62%;8.88%;9.54%;8.71%;8.25%;7.77%;6.92%;6.26%;5.08%;4.44%;3.12%;2.54%;1.74%;0.98%;0.55%;0.36%;0.1%
Fluminense;1.68%;3.21%;5.04%;6.97%;7.56%;8.07%;8.36%;8.34%;8.37%;7.72%;7.32%;6.71%;5.51%;4.89%;3.52%;2.77%;2.03%;0.99%;0.73%;0.21%
São Paulo;1.55%;3.56%;5.34%;6.6%;7.33%;8.32%;8.33%;8.62%;8.37%;7.8%;7.25%;6.19%;5.85%;4.77%;3.3%;2.85%;1.89%;1.27%;0.61%;0.2%
Botafogo;1.03%;2.23%;3.33%;5.06%;6.12%;6.86%;7.54%;8.01%;8.03%;8.01%;7.69%;7.68%;6.58%;6.12%;5.4%;4.05%;3.01%;1.8%;0.96%;0.49%
Fortaleza;0.96%;2.34%;3.36%;4.82%;6.18%;6.68%;7.28%;7.97%;8.38%;8.06%;8.02%;7.37%;7.07%;6.02%;4.83%;4.16%;2.87%;2.21%;0.99%;0.43%
Cruzeiro;0.77%;1.67%;3.2%;4.7%;5.24%;5.83%;7.12%;7.5%;7.62%;8.08%;8.49%;8.19%;7.08%;6.51%;6.15%;4.31%;3.79%;1.77%;1.36%;0.62%
Bahia;0.71%;1.83%;2.76%;4.2%;5.35%;6.19%;6.65%;7.94%;7.82%;8.08%;8.44%;7.89%;7.61%;6.68%;5.42%;4.46%;3.81%;2.3%;1.37%;0.49%
Bragantino;0.39%;1.19%;1.94%;2.99%;3.89%;5.2%;6.2%;6.56%;7.22%;7.88%;8.25%;8.71%;8.35%;7.71%;6.78%;6.14%;4.43%;3.33%;1.86%;0.98%
Vasco;0.13%;0.47%;0.83%;1.37%;2.07%;2.94%;3.89%;4.27%;5.25%;6.46%;7.29%;7.93%;9.15%;9.83%;9.05%;9.06%;7.23%;6.52%;4%;2.26%
Corinthians;0.07%;0.16%;0.29%;0.9%;1.28%;1.59%;2.55%;3.06%;4.02%;4.92%;5.67%;7.19%;8.59%;9.5%;10.34%;9.76%;10.09%;8.84%;6.96%;4.22%
Cuiabá;0.03%;0.15%;0.19%;0.39%;0.68%;0.89%;1.48%;2.08%;2.37%;3.03%;4.01%;5.27%;6.58%;7.65%;9.6%;11.01%;12.12%;11.69%;11.65%;9.13%
Vitória;0.01%;0.03%;0.15%;0.32%;0.55%;0.85%;1.37%;1.77%;2.36%;3.48%;4%;5.2%;6.05%;7.81%;9.66%;11.54%;11.99%;12.25%;11.45%;9.16%
Atlético-GO;0.01%;0%;0.03%;0.01%;0.04%;0.13%;0.29%;0.36%;0.7%;0.93%;1.31%;1.79%;2.81%;3.83%;5.63%;8%;10.84%;16.02%;20.28%;26.99%
Juventude;0%;0.05%;0.04%;0.14%;0.34%;0.5%;0.81%;0.99%;1.46%;1.94%;2.47%;3.8%;5.12%;6.99%;9.26%;10.93%;13.28%;14.99%;14.46%;12.43%
Criciúma;0%;0%;0.01%;0.03%;0.05%;0.07%;0.17%;0.2%;0.33%;0.42%;1.08%;1.35%;1.83%;3.04%;4.88%;6.7%;10.21%;14.79%;22.66%;32.18%
