,Athlético-PR,Atlético-MG,Atlético-GO,Bahia,Botafogo,Bragantino,Corinthians,Criciúma,Cruzeiro,Cuiabá,Flamengo,Fluminense,Fortaleza,Grêmio,Internacional,Juventude,Palmeiras,São Paulo,Vasco,Vitória
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
17,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
18,0,0,1,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
19,0,0,6,0,0,0,1,0,0,0,0,55,0,0,0,0,0,0,0,0
20,0,0,13,0,0,0,9,0,0,1,0,101,0,1,0,0,0,0,0,1
21,0,0,33,0,0,0,11,0,0,2,0,137,0,2,0,0,0,0,0,2
22,0,0,43,0,0,0,18,0,0,1,0,212,0,9,0,0,0,0,0,4
23,0,0,70,0,0,0,32,0,0,15,0,265,0,9,0,0,0,0,0,6
24,0,0,107,0,0,0,51,1,0,16,0,329,0,24,0,0,0,0,0,22
25,0,0,129,0,0,0,96,4,0,30,0,444,0,27,0,0,0,0,0,36
26,0,0,238,0,0,0,135,5,0,57,0,559,0,65,0,0,0,0,0,69
27,0,0,319,0,0,0,225,5,0,72,0,642,0,88,0,1,0,0,0,78
28,0,0,443,0,0,0,271,9,0,129,0,710,0,131,0,3,0,0,2,165
29,0,0,497,0,0,0,324,25,0,178,0,771,0,207,0,3,0,0,1,215
30,0,0,590,0,0,0,428,33,0,252,0,708,0,268,0,16,0,0,4,356
31,0,0,647,0,0,1,525,72,0,376,0,757,0,341,0,13,0,0,7,432
32,0,1,705,0,0,1,600,98,0,412,0,746,0,467,0,24,0,0,10,534
33,0,0,751,0,0,1,689,134,0,519,0,666,0,548,0,47,0,0,22,671
34,0,0,744,0,0,6,741,186,0,603,0,619,0,573,1,68,0,0,32,699
35,0,1,766,0,0,13,725,281,0,657,0,511,0,673,1,105,0,0,59,740
36,0,10,685,0,0,27,757,340,0,706,0,419,0,701,1,165,0,0,108,841
37,0,14,686,0,0,30,716,427,0,759,0,373,0,665,3,219,0,0,134,772
38,0,16,537,0,0,59,664,485,0,774,0,244,0,736,5,287,0,0,229,779
39,3,32,443,0,0,98,649,601,0,714,0,207,1,738,14,362,0,0,265,710
40,1,49,384,0,0,125,535,673,0,685,0,162,0,695,21,420,0,0,342,645
41,4,76,322,0,0,179,454,728,2,632,0,105,0,589,29,536,0,0,466,536
42,15,138,244,0,0,262,349,720,0,486,0,86,1,510,50,581,0,0,518,442
43,14,162,195,0,0,323,279,691,7,436,0,37,3,458,78,684,0,1,589,365
44,43,221,135,1,0,380,199,714,3,382,0,39,3,393,122,681,0,1,608,275
45,48,291,109,0,0,479,177,638,11,294,0,12,18,294,160,632,0,2,703,190
46,87,402,66,2,0,497,87,639,11,239,0,13,25,238,199,718,0,8,711,147
47,97,453,34,1,0,571,82,516,27,181,0,5,46,147,267,668,0,13,743,98
48,176,533,21,2,0,659,76,479,46,138,1,4,61,123,325,667,0,26,689,71
49,207,560,16,2,1,711,44,374,68,84,0,2,64,106,415,601,1,41,640,50
50,277,625,11,11,0,654,25,296,88,64,1,0,100,61,446,508,0,44,629,24
51,373,712,4,10,0,699,11,224,132,36,1,0,137,41,568,429,1,90,545,9
52,452,700,3,15,1,667,7,184,152,33,1,0,184,22,611,389,5,118,436,8
53,551,675,1,27,5,602,4,143,249,15,6,0,246,18,611,290,5,141,408,4
54,624,680,1,58,6,560,3,95,311,12,12,0,347,14,653,246,2,218,320,1
55,656,656,0,102,14,498,0,49,398,4,23,0,389,6,683,175,10,321,241,2
56,706,587,0,119,28,434,1,49,451,2,25,0,481,2,661,128,22,336,177,1
57,732,520,0,173,24,367,0,33,504,2,50,0,567,5,597,112,28,441,121,0
